original_path,copied_path,file_name,modification_time,byte_size,sha256
"C:\Users\Owner\UK Dementia Research Institute Dropbox\Brancaccio Lab\Jamie\Experiments\PyIncucyte\pyincucyte\__init__.py",src_package_init.py,__init__.py,2026-09-04T12:52:52.0893995Z,4961,90378c77942793c8525b1de61d0e86900254ab93d0e1e8ea96bdaa3ed56786e4
"C:\Users\Owner\UK Dementia Research Institute Dropbox\Brancaccio Lab\Jamie\Experiments\PyIncucyte\pyincucyte\client.py",src_client.py,client.py,2026-09-04T14:06:49.9458595Z,78557,9c0fefbab6ef38e1fde62544c9720c2974c4daa4594307e4450f4124f4060015
"C:\Users\Owner\UK Dementia Research Institute Dropbox\Brancaccio Lab\Jamie\Experiments\PyIncucyte\pyincucyte\cli.py",src_cli.py,cli.py,2026-09-04T12:53:20.2609345Z,54866,08c0d62579e7bc6aac4db17ae4b3c233e6abeb324379cceaf3e7aabbf371e2f1
"C:\Users\Owner\UK Dementia Research Institute Dropbox\Brancaccio Lab\Jamie\Experiments\PyIncucyte\pyincucyte\watch.py",src_watch.py,watch.py,2026-08-25T09:55:47.3966881Z,13999,3114828b83869bb91416b38f922b57ed8cf3fbc7e5a2a6a473d608f74fd5ff07
"C:\Users\Owner\UK Dementia Research Institute Dropbox\Brancaccio Lab\Jamie\Experiments\PyIncucyte\pyincucyte\engine.py",src_engine.py,engine.py,2026-09-03T16:20:38.3654426Z,77930,0bca10662bb1eac380d1d6e688b29392761407ddc954e9f013d3807ec7c48141
"C:\Users\Owner\UK Dementia Research Institute Dropbox\Brancaccio Lab\Jamie\Experiments\PyIncucyte\pyincucyte\models.py",src_models.py,models.py,2026-09-04T14:06:49.9543852Z,28353,6c1a53b625da37a27cfd716e4a37966bdb7ee01b3b67a09f8a76d2364924784e
"C:\Users\Owner\UK Dementia Research Institute Dropbox\Brancaccio Lab\Jamie\Experiments\PyIncucyte\graphify-out\GRAPH_REPORT.md",src_graph_report.md,GRAPH_REPORT.md,2026-09-04T14:13:37.7866208Z,51726,e0dfb2104ecf8831c39b7cce5c4c1255e2a5d5b1db698cde7c8a86c6923cb211
"C:\Users\Owner\.claude\skills\plot-that\scripts\plot_style.py",src_plot_style.py,plot_style.py,2026-08-28T10:59:58.4914237Z,12612,8abc337536d44adec24ced83a54b6f5bd3ac67b5c1eaf629a753742aab520cef
"C:\Users\Owner\UK Dementia Research Institute Dropbox\Brancaccio Lab\Jamie\Experiments\Auto-Organotypic\src\auto_organotypic\pipeline.py",src_chain_pipeline.py,pipeline.py,2026-09-04T12:57:15.4235331Z,133433,f0aa801feca89c3075749f6940057a0759417339096fa1d9103203ed7ced3048
